Episode,Reward
1,53.0
2,14.0
3,22.0
4,25.0
5,36.0
6,67.0
7,23.0
8,68.0
9,20.0
10,19.0
11,37.0
12,13.0
13,33.0
14,28.0
15,70.0
16,36.0
17,15.0
18,29.0
19,25.0
20,17.0
21,28.0
22,56.0
23,19.0
24,34.0
25,29.0
26,43.0
27,40.0
28,17.0
29,34.0
30,28.0
31,37.0
32,55.0
33,18.0
34,17.0
35,56.0
36,69.0
37,22.0
38,16.0
39,33.0
40,23.0
41,26.0
42,40.0
43,64.0
44,24.0
45,36.0
46,26.0
47,34.0
48,25.0
49,24.0
50,20.0
51,44.0
52,24.0
53,22.0
54,32.0
55,27.0
56,36.0
57,24.0
58,155.0
59,49.0
60,26.0
61,27.0
62,34.0
63,27.0
64,31.0
65,18.0
66,14.0
67,18.0
68,26.0
69,24.0
70,30.0
71,15.0
72,26.0
73,21.0
74,33.0
75,58.0
76,22.0
77,20.0
78,26.0
79,21.0
80,17.0
81,12.0
82,40.0
83,71.0
84,12.0
85,65.0
86,9.0
87,15.0
88,25.0
89,27.0
90,25.0
91,20.0
92,20.0
93,20.0
94,25.0
95,12.0
96,52.0
97,14.0
98,18.0
99,54.0
100,18.0
101,24.0
102,42.0
103,27.0
104,13.0
105,19.0
106,49.0
107,26.0
108,61.0
109,23.0
110,21.0
111,12.0
112,24.0
113,48.0
114,29.0
115,15.0
116,21.0
117,29.0
118,24.0
119,36.0
120,51.0
121,71.0
122,21.0
123,40.0
124,37.0
125,28.0
126,21.0
127,76.0
128,34.0
129,34.0
130,49.0
131,48.0
132,53.0
133,17.0
134,60.0
135,17.0
136,19.0
137,14.0
138,18.0
139,35.0
140,82.0
141,29.0
142,79.0
143,83.0
144,42.0
145,100.0
146,67.0
147,84.0
148,72.0
149,61.0
150,26.0
151,45.0
152,32.0
153,95.0
154,88.0
155,21.0
156,83.0
157,64.0
158,50.0
159,65.0
160,32.0
161,53.0
162,40.0
163,88.0
164,14.0
165,29.0
166,137.0
167,24.0
168,80.0
169,54.0
170,145.0
171,91.0
172,97.0
173,39.0
174,60.0
175,114.0
176,108.0
177,87.0
178,173.0
179,166.0
180,50.0
181,54.0
182,195.0
183,108.0
184,179.0
185,259.0
186,375.0
187,317.0
188,398.0
189,509.0
190,610.0
191,416.0
192,1350.0
193,574.0
194,193.0
195,283.0
196,183.0
197,140.0
198,192.0
199,130.0
200,131.0
201,133.0
202,135.0
203,160.0
204,129.0
205,137.0
206,190.0
207,382.0
208,168.0
209,127.0
210,146.0
211,140.0
212,128.0
213,266.0
214,143.0
215,161.0
216,184.0
217,113.0
218,162.0
219,125.0
220,127.0
221,137.0
222,134.0
223,128.0
224,119.0
225,127.0
226,113.0
227,125.0
228,156.0
229,152.0
230,140.0
231,132.0
232,135.0
233,124.0
234,134.0
235,127.0
236,106.0
237,277.0
238,133.0
239,126.0
240,140.0
241,203.0
242,232.0
243,119.0
244,185.0
245,409.0
246,150.0
247,193.0
248,266.0
249,146.0
250,190.0
251,149.0
252,125.0
253,148.0
254,178.0
255,315.0
256,204.0
257,156.0
258,133.0
259,235.0
